projectname,version,domain,#LOC,#AA,%disciplined,%IF,%CA,%EI,%PA,%EX,%NC,total disciplined
apache,2.2.11,Web server,137050,1486,85.46,0.0,0.0,0.0,0.4,1.21,12.92,1270
apache,2.4.46,Web server,199652,1707,86.88,0.0,0.0,0.0,0.53,1.46,11.13,1483
berkeley.db,18.1.40,database system,260938,3932,92.57,0.03,0.0,0.0,0.18,0.51,6.71,3640
berkeley.db,4.7.25,database system,184692,3159,92.28,0.0,0.0,0.0,0.25,0.6,6.87,2915
cherokee,0.99.11,Web server,52132,597,88.78,0.0,0.0,0.0,0.0,0.17,11.06,530
cherokee,1.2.104,Web server,60010,651,89.86,0.0,0.0,0.0,0.0,0.15,9.98,585
clamav,0.104,antivirus program,249329,2130,90.52,0.05,0.0,0.0,0.0,0.05,9.39,1928
clamav,0.94.2,antivirus program,77666,1002,85.23,0.0,0.0,0.0,0.0,0.0,14.77,854
cpython,2.6.1,program interpreter,374304,8411,93.39,0.0,0.0,0.0,0.42,0.29,5.91,7855
cpython,3.9.3,program interpreter,505015,8633,92.73,0.01,0.0,0.0,0.15,0.14,6.97,8004
dia,0_96_1,diagramming software,139301,341,96.48,0.0,0.0,0.0,0.29,0.0,3.23,328
dia,0_97_2,diagramming software,145595,391,95.65,0.0,0.0,0.0,0.51,0.0,3.84,373
emacs,22.3,text editor,23308,459,95.64,0.0,0.0,0.0,0.0,0.0,4.36,439
emacs,27.1.91,text editor,58137,2738,93.83,0.0,0.0,0.0,0.11,0.11,5.95,2569
freebsd,12.2.0,operating system,11482530,117468,91.99,0.0,0.0,0.0,0.21,0.41,7.39,108055
freebsd,7.1.0,operating system,5004762,63134,91.91,0.0,0.0,0.0,0.35,0.58,7.16,58028
gcc,10.2.0,compiler framework,3237149,22263,86.4,0.01,0.0,0.0,0.08,1.62,11.87,19236
gcc,4.3.3,compiler framework,1518746,12416,86.09,0.02,0.0,0.0,0.05,1.66,12.19,10688
ghostscript,8.62,postscript interpreter,526787,5450,91.08,0.0,0.0,0.0,0.17,0.51,8.24,4963
ghostscript,9.52,postscript interpreter,1288670,9563,90.04,0.01,0.0,0.0,0.13,0.53,9.29,8611
gimp,2_10_24,graphics editor,809194,1726,95.77,0.0,0.0,0.0,0.46,0.06,3.71,1653
gimp,2_6_4,graphics editor,619247,1126,95.03,0.0,0.0,0.0,0.09,0.0,4.88,1069
glibc,2.33,programming library,875382,10424,93.36,0.09,0.0,0.0,0.12,0.4,6.02,9731
glibc,2.9,programming library,746438,10705,85.6,0.07,0.0,0.0,0.14,0.57,13.3,9163
gnumeric,1_12_49,spreadsheet application,288182,469,93.6,0.0,0.0,0.0,0.0,0.0,6.4,439
gnumeric,1_9_5,spreadsheet application,251343,1285,86.93,0.0,0.0,0.0,0.78,0.62,11.67,1116
gnuplot,4.2.5,plotting tool,76117,1850,86.92,0.0,0.0,0.0,0.11,0.97,12.0,1607
gnuplot,5.4.1,plotting tool,100274,1343,86.9,0.07,0.0,0.0,0.22,0.45,12.36,1166
irssi,0.8.13,IRC client,52533,152,88.16,0.0,0.0,0.0,0.0,0.0,11.84,133
irssi,1.2.2,IRC client,60732,141,87.94,0.0,0.0,0.0,0.0,0.0,12.06,123
libxml2,2.7.3,XML library,209324,9163,96.63,0.0,0.0,0.0,0.0,0.29,3.08,8854
libxml2,2.9.10,XML library,224488,9459,96.5,0.0,0.0,0.0,0.0,0.27,3.22,9127
lighttpd,1.4.22,Web server,36654,596,96.14,0.0,0.0,0.0,0.0,0.17,3.69,572
lighttpd,1.4.59,Web server,82676,1490,92.35,0.0,0.0,0.0,0.0,0.2,7.45,1376
linux,2.6.28.7,operating system,6048447,41086,96.41,0.0,0.0,0.0,0.13,0.15,3.32,39609
linux,5.12.5,operating system,19909287,66138,96.91,0.0,0.0,0.0,0.07,0.06,2.96,64094
lynx,2.8.6,Web browser,117408,3591,83.79,0.03,0.0,0.0,0.17,1.81,14.2,3009
lynx,2.8.8,Web browser,126435,3754,84.15,0.03,0.0,0.0,0.16,1.97,13.69,3159
openldap,2_4_16,LDAP directory service,249719,2579,93.37,0.0,0.0,0.0,0.19,0.93,5.51,2408
openldap,2_4_58,LDAP directory service,284912,2903,92.87,0.0,0.0,0.0,0.17,0.83,6.13,2695
openvpn,2.1_rc1,seftrity application,57709,1479,89.93,0.0,0.0,0.0,0.47,0.47,9.13,1330
